"","entity","I45_graduates_skills","I44_digital_skills","I43_collaboration","I52_rnd_expenditure","I64_gov_responses","I65_innovation_framework","I53_innovative_companies","I51_venture_capital","I11_digital_trade","I12_digital_certificates","I13_trade_procedures","I33_electronic_transactions","I14_logistic_infrastructure","I15_logistic_services","I54_ease_of_business","I31_bank_services","I32_digital_money","I63_gov_services","I21_data_protection","I22_legal","I23_Institutional","I24_Technical","I25_Cooperation","I62_internet_use","I61_mobile","I42_knowledge_emp","I34_id_card","I35_digital_id","I41_stem_graduates","I55_intellectual_property"
"1","Angola",5.056,4.818,4.502,0.534,7.124,3.016,6.284,2.352,8.33333333333333,0,20,10,8.4,9.2,14.8246666666667,5.0078558,5.0078558,9.432,20,13.67,5.8,1.78,15.33,3.82,3.71928,1.5,NA,0,2.40209291263675,5.752
"2","Albania",10.982,9.98,9.428,1.028,9.224,9.156,8.562,6.714,10,20,20,10,10.8,9.2,NA,7.06179936,2.21671698,16.364,20,20,19.47,18.38,16.58,13.272,12.50762,3.68,18.97638658,0,4.50573398592405,7.008
"3","United Arab Emirates",13.612,14.404,12.62,6.424,14.158,14.51,15.71,12.774,16.6666666666667,20,10,10,16.4,16,NA,15.3223856,15.3223856,18.028,16.6666666666667,20,20,20,20,18.12,20,7.02,17.950683072,20,7.24120281509917,15.17
"4","Argentina",10.606,10.032,8.56,3.552,9.642,8.398,8.368,4.428,11.6666666666667,20,20,20,11.2,10.8,NA,14.44254706,12.0387032,16.178,20,16.96,12.08,12.18,8.41,14.03,NA,5.06,19.792511409,20,2.94314381270903,9.736
"5","Armenia",8.908,11.794,8.952,1.518,10.822,10.032,10.118,7.704,13.3333333333333,20,20,10,10.4,10.4,19.1906666666667,12.11607608,6.76077824,14.442,20,17.22,2.81,8.69,14.74,12.4,14.7959,3.74,14.9100419245244,20,4.0126146313125,10.754
"6","Australia",12.758,13.398,10.894,12.82,12.154,11.348,10.584,8.464,16.6666666666667,20,20,20,16.4,15.6,NA,19.78991052,19.78991052,18.76,18.3333333333333,20,20,17.95,18.85,17.648,20,10.3,0,20,3.77660217285156,15.73
"7","Austria",14.166,12.6,12.574,20,11.868,11.062,11.602,9.034,16.6666666666667,20,20,20,15.6,16,NA,19.86003,19.86003,17.654,20,18.42,17.56,18.23,16.59,16.864,20,8.86,NA,20,6.09742012023926,16.316
"8","Azerbaijan",11.406,13.648,12.374,1.234,12.828,12.014,15.082,10.39,13.3333333333333,20,20,20,NA,NA,17.206,10.31832844,6.84791028,12.238,20,20,18.05,18.02,20,15.64,11.81138,4.64,19.750320842,20,5.29517851157891,14.084
"9","Burundi",10.526,7.412,9.112,0.808,8.546,7.848,8.866,6.738,3.33333333333333,0,0,0,7.81146,9.328364,NA,0.86463978,0.86463978,6.752,6.66666666666667,9.9,0,0,5.84,1.034,2.15696,0.54,NA,0,3.93449131513648,9.398
"10","Belgium",13.494,12.768,12.668,16.588,11.83,9.266,8.908,9.364,16.6666666666667,20,20,20,16.4,16.8,16.654,19.4829208,19.4829208,13.798,20,20,19.51,18.11,20,17.304,15.21894,9.84,19.82267924,20,3.87852401733398,16.704
