"","entity","I1","I2","I3","I4","I5","I6","Index","region","code"
"1","Albania",70,94.43,38.25490292,38.575733985924,29.14,60.52362,55.154042817654,"Europe","ALB"
"2","Algeria",32.2,71.96,23.198085699,37.2077114674617,39.3175,48.39834,42.0469395277436,"Africa","DZA"
"3","Angola",45.9333333333333,56.58,25.0196395,18.2780929126368,29.7466666666667,27.11128,33.7781687354395,"Africa","AGO"
"4","Argentina",73.6666666666667,69.63,86.273761669,37.201143812709,32.605,60.31,59.9477620247293,"Americas","ARG"
"5","Armenia",74.1333333333333,63.46,63.7868962445244,37.4066146313125,49.2846666666667,62.4919,58.4272351459728,"Asia","ARM"
"6","Australia",88.6666666666667,95.1333333333333,79.57982104,51.1266021728516,59.4975,79.91,75.6523205354753,"Oceania","AUS"
"7","Austria",88.2666666666667,90.8,99.650075,54.2974201202392,71.19,77.448,80.2753602978176,"Europe","AUT"
"8","Azerbaijan",88.8888888888889,96.07,76.916559562,47.3631785115789,57.996,64.53138,71.9610011604113,"Asia","AZE"
"9","Bahrain",57.6,97.94,76.13216785,42.745918022121,52.4513333333333,82.65,68.2532365342424,"Asia","BHR"
"10","Bangladesh",41.6666666666667,97.44,34.298887623,27.0691690690155,36.432,41.61062,46.419557226447,"Asia","BGD"
"11","Belgium",89.8666666666667,97.62,98.78852084,52.648524017334,68.218,67.41694,79.0931085873334,"Europe","BEL"
"12","Benin",37,93.57,20.185574654,32.6926081085205,43.2826666666667,31.51196,43.0404682381979,"Africa","BEN"
"13","Bolivia",40.8666666666667,41.4266666666667,62.38477159,31.12,20.27,45.6518,40.2866508205556,"Americas","BOL"
"14","Bosnia & Herzegovina",42,49.35,47.892431187,32.0701960449219,25.9966666666667,47.03384,40.7238556497648,"Europe","BIH"
"15","Botswana",54.3333333333333,85.28,55.877144644,33.6517039095059,44.7273333333333,44.6489,53.0864025366954,"Africa","BWA"
"16","Brazil",76,93.9566666666667,86.960565013,31.1769739532471,38.1775,65.02614,65.2163076054856,"Americas","BRA"
"17","Bulgaria",82.2666666666667,82.86,56.317366031,41.3022799224854,46.756,65.6,62.5170521033587,"Europe","BGR"
"18","Burkina Faso",32.1333333333333,78.62,28.48911833,29.6595057208238,34.962,30.56712,39.0718462306928,"Africa","BFA"
"19","Burundi",20.4731573333333,22.4066666666667,2.16159945,31.5244913151365,32.2625,26.33696,22.5275624608561,"Africa","BDI"
"20","Cambodia",43,32.0111111111111,38.238114523,31.9369097990341,35.7593333333333,49.4188,38.3940447944131,"Asia","KHM"
"21","Cameroon",46.8,71.29,32.794518489,36.8865643574849,34.812,31.8733,42.4093971410808,"Africa","CMR"
"22","Canada",89,90.8666666666667,98.908021952,53.4157499694824,61.8433333333333,74.25062,78.0473986535804,"Americas","CAN"
"23","Chile",78.6,70.3766666666667,93.514545899,42.6325458221435,42.445,68.91868,66.0812397313017,"Americas","CHL"
