"","entity","I1","I2","I3","I4","I5","I6","Index","code"
"1","Albania",82,94.3,51.9885059333333,30.2762233098734,27.6633333333333,63.3793666666667,58.2679048738678,"ALB"
"2","Algeria",31.3333333333333,87.2833333333333,34.2990071316667,32.8628524457695,38.62,50.8272333333333,45.8709599295727,"DZA"
"3","Angola",48.6666666666667,81.6666666666667,37.5196395,14.5334881877279,20.95,26.9454666666667,38.380321281288,"AGO"
"4","Argentina",84.6666666666667,75.6166666666667,86.3853576816667,30.0585730211817,36.0933333333333,61.44,62.3767662282525,"ARG"
"5","Armenia",84,86.6,52.7847002742073,32.5776910521875,37.3166666666667,65.4498333333333,59.7881485543992,"ARM"
"6","Australia",92.6666666666667,95.3055555555556,66.3165175333333,45.7910036214193,65.2233333333333,83.5133333333333,74.8027350072736,"AUS"
"7","Austria",93.3333333333333,91.6833333333333,99.650075,45.9290335337321,79.8633333333333,81.1933333333333,81.9420736445109,"AUT"
"8","Azerbaijan",100,100,77.6637185366667,39.3052975192982,50.6666666666667,60.1056333333333,71.2902193426608,"AZE"
"9","Bahrain",55.3333333333333,96.5666666666667,63.63216785,35.183196703535,47.7666666666667,87.615,64.3495052033669,"BHR"
"10","Bangladesh",51.3333333333333,95.7333333333333,45.8489673716667,20.6452817816924,31.1733333333333,47.9677,48.7836581922265,"BGD"
"11","Belgium",94.6666666666667,100,98.8426667333333,44.1442066955566,70.3333333333333,63.8049,78.6319622381483,"BEL"
"12","Benin",36.6666666666667,90.4666666666667,17.7269237566667,24.1910135142008,37.57,34.4699333333333,40.1818673229224,"BEN"
"13","Bolivia",32.6666666666667,50.9944444444444,56.0959076833333,25.46,18.1766666666667,49.0163333333333,38.7350031324074,"BOL"
"14","Bosnia & Herzegovina",36,67.8,59.1306565783333,31.4436600748698,18.5266666666667,42.0764,42.4962305533116,"BIH"
"15","Botswana",56,89.3833333333333,74.1465003066667,28.7761731825098,38,47.1281666666667,55.5723622481961,"BWA"
"16","Brazil",88.6666666666667,94.4444444444444,85.8132908216667,24.9582899220785,39.28,70.8969,67.3432653091427,"BRA"
"17","Brunei",84.73218,81.5592592592593,100,44.5482130940755,60.61,64.8433333333333,72.7154976144447,"BRN"
"18","Bulgaria",88.6666666666667,85.2166666666667,67.995032285,37.8037998708089,38.1366666666667,72.0066666666667,64.9709164704126,"BGR"
"19","Burkina Faso",32.6666666666667,84.6,31.3343089833333,23.3858428680397,33.9933333333333,36.0385333333333,40.3364475307844,"BFA"
"20","Burundi",15.5472733333333,37.3444444444444,2.16159945,19.8108188585608,31.7866666666667,27.9282666666667,22.4298449032786,"BDI"
"21","Cambodia",49.3333333333333,31.9185185185185,52.9628413716667,23.9648496650569,28.9033333333333,55.298,40.3968127036515,"KHM"
"22","Cameroon",47.3333333333333,87.0833333333333,34.7787085483333,30.0776072624748,34.4433333333333,31.9155,44.2719693018013,"CMR"
"23","Canada",94.6666666666667,92.6111111111111,98.7306542533333,45.5695832824707,59.9,72.9943666666667,77.4120636633748,"CAN"
"24","Chile",87.3333333333333,71.9277777777778,94.4285695316667,36.2109097035726,41.2233333333333,75.1911333333333,67.7191761688362,"CHL"
"25","China",92,69.3148148148148,92.9175027416667,60.98,59.46,80.7651333333333,75.9062418149691,"CHN"
"26","Colombia",87.3333333333333,70.8148148148148,74.6724198216667,31.3668068440755,31.1833333333333,56.0529,58.5706013578706,"COL"
"27","Congo - Kinshasa",32.6666666666667,79.55,3.7062094,22.9811749458313,19.3566666666667,21.3988666666667,29.9432640576385,"COD"
"28","Costa Rica",86,92.4666666666667,81.153610155,34.443596979777,36.53,70.52,66.8523123002406,"CRI"
